# format: hangul,kanji[,supplement]
가게부,家計簿
가사,家事
가상,仮想
가입,加入
가전제품,家電製品
각자,各自
간격,間隔
간판,看板
간호,看護
갈등,葛藤
감각,感覚
감독,監督
감소,減少
감정,感情
감탄,感嘆
강사,講師
강수량,降水量
강연,講演
강의실,講義室
강조,強調
개강,開講
개발,開発
개방,開放
개선,改善
개최,開催
객관적,客観的
거절,拒絶
건강,健康
건설,建設
건조,乾燥
건축,建築
검사,検査
검색,検索
검색창,検索窓
게시판,掲示板
게약,契約
격려,激励
결론,結論
결말,結末
결석,欠席
결승전,決勝戦
결심,決心
겸손,謙遜
경고,警告
경력,経歴
경비원,警備員
경영,経営
경쟁,競争
경제,経済
계산,計算
계층,階層
고객,顧客
고급,高級
고백,告白
고속,高速
고층,高層
고통,苦痛
곤란,困難
공공요금,公共料金
공동,共同
공사,工事
공연장,公演場
공장,工場
공통점,共通点
공포,恐怖
공해,公害
과로,過労
과삭,過食
과소비,過消費
과장,課長
과정,過程
과제,課題
곽목,課目
관객,観客
관계자,関係者
관광,観光
관람,観覧
관련,関連
관리,管理
관찰력,観察力
광장,広場
교사,教師
교외,郊外
교육,教育
교재,教材
교통수단,交通手段
교환,交換
구매,購買
구별,区別
구성,構成
구인,求人
구조,救助
구조,構造
구채적,具体的
국내선,国内線
국제선,国際線
귀국,帰国
그림책,絵本
근육,筋肉
긍정적,肯定的
기념일,記念日
기능,機能
기대,期待
기록,記録
기본,基本
기부,寄付
기술,技術
기억,記憶
기준,基準
기호,記号
기회,機会
기후,気候
긴장감,緊張感
난방,暖房
남녀평등,男女平等
남부,南部
남성,男性
낭비,浪費
내부,内部
내성적,内性的
년대,年代
노력,努力
노선,路線
노인,老人
녹음,録音
논문,論文
농민,農民
농약,農薬
다수,多数
단계,段階
단체,団体
담당자,担当者
담임,担任
답변,答弁
대기업,大企業
대량,大量
대리,代理
대승교통,大衆交通
대책,対策
대청소,大掃除
대표,代表
대형,大型
도구,道具
도난,盗難
도서,図書
도전,挑戦
도중,途中
독립,独立
동료,同僚
동부,東部
동시,同時
동양화,東洋画
동영상,動画像
동작,動作
동해안,東海岸
동호회,同好会
둥창회,同窓会
등록,登録
만족,満足
매달,毎月
매력적,魅力的
매점,売店
매체,媒体
면세점,免税店
면접관,面接官
면허증,免許証
명랑,明朗
명사,名詞
명소,名所
명품,名品
모국어,母国語
모범생,模範生
모험심,冒険心
모형,模型
목적지,目的地
목표,目標
무관심,無関心
무대,舞台
무선,無線
문면,文面
문명,文明
문제점,問題点
문학,文学
물가,物価,물가가 올라서 음식값을 올렸어요.物価が上がったので、食事代を値上げしました。
물질,物質
물품,物品
미소,微笑
미용사,美容師
민속,民俗
민요,民謡
민족,民族
밑줄,下線
박사,博士
반납,返納
반대,反対
반복,反復
반성,反省
반응,反応
반품,返品
발견,発見
발달,発達
발명,発明
발목,足首
발생,発生
발표자,発表者
방문,訪問
방송사,放送社
방식,方式
방해,妨害
방향,方向
배경,背景
배낭,背袋
배려,配慮
번역,翻訳
벌금,罰金
범위,範囲
범인,犯人
범죄,犯罪
변경,変更
변명,弁明
변화,変化
별명,別名
보고,報告
보고서,報告書
보관,保管
보물,宝物
보증금,保証金
보충,補充
보험,保険
보호자,保護者
복사,複写
복습,復習
부사,副詞
부상,負傷
부작용,副作用
분량,分量
분리,分離
분실,紛失
분실물,紛失物
불경기,不景気
불교,仏教
불규칙,不規則
불량,不良
불만,不満
불안,不安
불평등,不平等
불행,不幸
불행,不幸
비교적,比較的
사건,事件
사막,砂漠
사망,死亡
사망률,死亡率
사실,事実
사업,事業
사정,事情
사춘기,思春期
사표,辞表
살인,殺人
상금,賞金
상담,相談
상대,相手
상상,想像
상승,上昇
상식,常識
상업,商業
상인,商人
상징,象徴
상태,状態
상표,商標
상황,状況
새해,新年
생강차,生姜茶
생략,省略
생산,生産
생중계,生中継
생활비,生活費
서너,三四
서론,序論
서명,署名
서부,西部
석사,修士
석식,夕食
선진국,先進国
선착순,先着順
설득,説得
설문,設問
성공,成功
성능,性能
성당,聖堂
성별,性別
성실,誠実
성적,成績
세금,税金
세기,世紀
세대,世代
세련,洗練
세월,歳月
세제,洗剤
소극장,小劇場
소망,所望
소방차,消防車
소비자,消費者
소설,小説
소음,騒音
소화,消化
속도위반,速度違反
손발,手足
솔직,率直
송금,送金
수단,手段
수량,数量
수료식,修了式
수리,修理
수면,睡眠
수명,寿命
수산물,水産物
수상,首相
수선,修繕
수입,輸入
수정,修正
수집,収集
수출,輸出
숙박,宿泊
숙소,宿所
순간,瞬間
습기,湿気
습도,湿度
승객,乗客
승리,勝利
승용차,乗用車
승진,昇進
승차,乗車
시대,時代
시력,視力
시청자,視聴者
시합,試合
식료품,食料品
식물,植物
식습관,食習慣
식옥,食欲
식품,食品
신문지,新聞紙
신분증,身分証
신선,新鮮
신용,信用
신제품,新製品
신청자,申請者
신체,身体
신형,新型
신호,信号
실내,室内
실력,実力
실망,失望
실시,実施
실용적,実用的
실제,実際
실종,失踪
실천,実践
실패,失敗
실험,実験
심리학,心理学
심장,心臓
아동,児童
악몽,悪夢
악수,握手
안색,顔色
안심,安心
애완견,愛玩犬
애완동물,愛玩動物
애인,愛人
애정,愛情
야간,夜間
야경,夜景
양로원,養老院
양반,両班
양보,譲歩
어휘,語彙
억양,抑揚
업무,業務
여가,余暇
여관,旅館
여성,女性
여유,余裕
역할,役割
연결,連結
연구,研究
연극,演劇
연인,恋人
연주,演奏
연회비,年会費
영수증,領収書
영양,栄養
영업,営業
영역,領域
영향력,影響力
예금,預金
예방,予防
예보,予報
예상,予想
예술,芸術
예습,予習
예의,礼儀
예절,礼節
예정일,予定日
오락,娯楽
오염,汚染
온몸,全身
왕복,往復
왕비,王妃
외교관,外交官
외식,外食
요구,要求
요약,要約
요청,要請
욕실,浴室
욕심,欲心
용기,勇気
용서,容赦
우승,優勝
우연,偶然
우정,友情
우주,宇宙
우편물,郵便物
우편배달,郵便配達
운명,運命
운전면허,運転免許
원고용지,原稿用紙
원리,原理
원서,願書
위로,慰労
위반,違反
유료,有料
유명,有名
유적,遺跡
유치원,幼稚園
유쾌,愉快
유행어,流行語
육식,肉食
육아,育児
은행,銀行
은혜,恩恵
음력,陰暦
음료,飲料
음성,音声
음식점,飲食店
음주,飲酒
응답,応答
응시자,受試者
응원,応援
의견,意見
의논,議論
의류,衣類
의무,義務
의문,疑問
의사소통,意思疎通
의상,衣装
의식주,衣食住
의욕적,意欲的
의의,意義
의학,医学
이동,移動
이별,離別
이성,理性
이익,利益
이자,利子
이하,以下
이후,以後
인간관계,人間関係
인류,人類
인상적,印象的
인생,人生
인쇄,印刷
일반,一般
일부,一部
일상,日常
일정,日程
임시,臨時
임신,妊娠
입장권,入場券
자격,資格
자극적,刺激的
자동,自動
자랑,自慢
자막,字幕
자신감,自信感
자외선,紫外線
자원,資源
자음,子音
자존심,自尊心
자취,自炊
자판기,自販機
작가,作家
작곡,作曲
작문,作文
작업대,作業台
작품,作品
잔액,残額
장남,長男
장래성,将来性
장례,葬礼
장애,障害
장학금,奨学金
재산,財産
재주,才術
재학,在学
재혼,再婚
저금,貯金
저장,貯蔵
적극적,積極的
전기,電気
전문점,専門店
전시회,展示会
전원,電源
전쟁,戦争
전체,全体
전통,伝統
절반,折半
절약,節約
정답,正答
정보화,情報化
정부,政府
정신,精神
정장,正装
정전,停電
정지,停止
정차,停車
정치,政治
제공,提供
제도,制度
제안,提案
제자,弟子
제작,製作
제출,提出
제품,製品
제한,制限
조건,条件
조리,調理
조명,照明
조상,祖先
조심,用心
조절,調節
존경,尊敬
졸업식,卒業式
종교,宗教
종목,種目
종합,総合
좌우,左右
주문서,注文書
주민,住民
주방,厨房
주식화사,株式会社
주의,注意
주인공,主人公
주장,主張
주제,主題
주택가,住宅街
중간,中間
중고차,中古車
중고품,中古品
중급,中級
중단,中断
중부,中部
중심지,中心地
중앙,中央
증가,増加
증명서,証明書
증상,症状
증소기업,中小企業
지구,地球
지식,知識
지역,地域
지위,地位
지점,支店
지진,地震
지휘자,指揮者
직선,直線
직후,直後
진실,真実
진심,真心
진학,進学
진행,進行
질병,疾病
질서,秩序
질환,疾患
집세,家賃
집중력,集中力
짝수,偶数
차이,差異
착각,錯覚
찬성,賛成
참가,参加
참고,参考
참여,参与
채식주의,菜食主義
처리,処理
처방,処方
천국,天国
천사,天使
천장,天井
천재,天才
철학,哲学
첫날,初日
첫눈,初雪
청구서,請求書
청소년,青少年
체격,体格
체온,体温
체용,採用
체육관,体育館
체조,体操
체중,体重
체험,体験
초급,初級
초대장,招待状
초보자,初歩者
촬영,撮影
최근,最近
최대한,最大限
최선,最善
최저,最低
최종,最終
최초,最初
추가,追加
추천서,推薦書
추첨권,抽選券
추측,推測
출력,出力
출산,出産
출석,出席
출퇴근,出退勤
출판사,出版社
충격,衝撃
충고,忠告
충돌,衝突
취업난,就業難
취침,就寝
치료제,治療剤
치수,寸法
침실,寝室
칭찬,称賛
큰돈,大金
탈의실,脱衣室
탑승구,搭乗口
태도,態度
태양열,太陽熱
택배,宅配
토론,討論
통계,統計
통신,通信
통역,通訳
통일,統一
통지서,通知書
통화,通話
퇴원,退院
퇴직,退職
투표,投票
특산물,特産物
판매,販売
편리,便利
편식,偏食
평가,評価
평균,平均
평소,平素
평화,平和
포기,放棄
폭발,爆発
폭설,暴雪
